BoM station number	Year	Month	Mean maximum temperature (°C)
086338	2013	06	14.9
086338	2013	07	15.7
086338	2013	08	16.3
086338	2013	09	19.5
086338	2013	10	19.1
086338	2013	11	20.8
086338	2013	12	23.7
086338	2014	01	27.3
086338	2014	02	27.1
086338	2014	03	24.4
086338	2014	04	20.6
086338	2014	05	19.0
086338	2014	06	15.4
086338	2014	07	14.5
086338	2014	08	15.4
086338	2014	09	18.5
086338	2014	10	21.7
086338	2014	11	22.7
086338	2014	12	23.9
086338	2015	01	25.9
086338	2015	02	26.4
086338	2015	03	22.7
086338	2015	04	19.2
086338	2015	05	17.1
086338	2015	06	14.4
086338	2015	07	13.3
086338	2015	08	13.8
086338	2015	09	17.3
086338	2015	10	24.3
086338	2015	11	22.7
086338	2015	12	27.5
086338	2016	01	26.0
086338	2016	02	25.1
086338	2016	03	24.9
086338	2016	04	22.4
086338	2016	05	18.6
086338	2016	06	14.2
086338	2016	07	14.6
086338	2016	08	15.9
086338	2016	09	16.7
086338	2016	10	19.3
086338	2016	11	20.8
086338	2016	12	25.5
086338	2017	01	26.5
086338	2017	02	25.9
086338	2017	03	26.9
086338	2017	04	20.8
086338	2017	05	17.2
086338	2017	06	14.9
086338	2017	07	14.5
086338	2017	08	14.8
086338	2017	09	17.8
086338	2017	10	20.7
086338	2017	11	25.9
086338	2017	12	25.0
086338	2018	01	27.2
086338	2018	02	27.0
086338	2018	03	24.9
086338	2018	04	21.8
086338	2018	05	17.6
086338	2018	06	14.3
086338	2018	07	14.8
086338	2018	08	15.1
086338	2018	09	17.2
086338	2018	10	21.4
086338	2018	11	22.0
086338	2018	12	25.7
086338	2019	01	28.4
086338	2019	02	26.0
086338	2019	03	24.8
086338	2019	04	22.0
086338	2019	05	17.8
086338	2019	06	15.5
086338	2019	07	15.0
086338	2019	08	14.5
086338	2019	09	17.8
086338	2019	10	21.3
086338	2019	11	21.8
086338	2019	12	24.6
086338	2020	01	26.9
086338	2020	02	24.4
086338	2020	03	22.9
086338	2020	04	19.3
086338	2020	05	16.4
086338	2020	06	14.9
086338	2020	07	14.0
086338	2020	08	15.1
